ticker,name,as_of,fiscal_year,sector,roe,roe_3y_avg,opm,debt_ratio,is_financial,is_holding,per,pbr,ev_ebitda,fcf_yield,sector_per_median,sector_pbr_median,net_income_y1,net_income_y2,audit_opinion,verified,source,is_etf,is_spac,is_managed,is_halted,close,market_cap,volume,trading_value,avg_trading_value_20d,high_52w,low_52w,return_6m,volatility_1y,beta_kospi200,dividend_yield,payout_ratio,buyback_3y,verified_sh,source_sh,is_held,sector_group,sector_source,governance_red,gate_pass,gate_fail_reason
005830,DB손해보험,2026-07-28,2025,insurance,12.5,11.8,9.6,0.0,True,False,8.2,0.92,,,10.5,1.05,5200000000000.0,4800000000000.0,unqualified,True,manual,False,False,False,False,162300.0,10702757026600.0,8840,1434732000.0,35249038186.9,205500.0,119300.0,0.2591,43.11,,3.2,35.0,True,True,manual,True,,,False,True,
021240,코웨이,2026-07-28,2025,consumer,18.2,17.5,14.1,45.3,False,False,12.4,1.8,8.2,4.1,18.0,2.2,850000000000.0,780000000000.0,unqualified,True,manual,False,False,False,False,92300.0,6531833419800.0,7720,712556000.0,18115656027.55,113200.0,70900.0,0.1956,38.99,,2.1,28.0,False,True,manual,True,,,False,True,
005440,현대지에프홀딩스,2026-07-28,2025,holding,8.5,8.0,6.2,35.0,False,True,9.8,0.55,6.5,3.2,12.0,0.75,120000000000.0,95000000000.0,unqualified,True,manual,False,False,False,False,11920.0,2272291295610.0,31504,375527680.0,3971135817.25,18750.0,7290.0,0.3942,61.2,,2.8,30.0,True,True,manual,True,,,False,True,
192400,쿠쿠홀딩스,2026-07-28,2025,holding,9.2,8.8,7.5,28.0,False,True,11.0,0.62,7.0,2.8,12.0,0.75,95000000000.0,88000000000.0,unqualified,True,manual,False,False,False,False,25900.0,921060591500.0,1973,51100700.0,353697210.0,34750.0,23600.0,-0.0478,29.83,,2.5,25.0,False,True,manual,True,,,False,False,low_liquidity
006040,동원산업,2026-07-28,2025,consumer,11.0,10.5,8.2,55.0,False,False,9.5,0.85,5.5,5.0,18.0,2.2,180000000000.0,165000000000.0,unqualified,True,manual,False,False,False,False,35150.0,1551549787850.0,1479,51986850.0,1809469333.75,50000.0,30050.0,-0.152,40.14,,3.5,40.0,True,True,manual,True,,,False,True,
036530,SNT홀딩스,2026-07-28,2025,holding,7.8,7.2,5.8,40.0,False,True,8.5,0.48,5.8,4.5,12.0,0.75,65000000000.0,60000000000.0,unqualified,True,manual,False,False,False,False,48250.0,794814442500.0,655,31603750.0,905056777.5,88200.0,46450.0,-0.1505,49.49,,3.8,45.0,True,True,manual,True,,,False,False,low_liquidity
002380,KCC,2026-07-28,2025,materials,6.5,5.8,4.2,85.0,False,False,14.0,0.72,9.5,2.0,15.0,1.1,350000000000.0,280000000000.0,unqualified,True,manual,False,False,False,False,392500.0,3583237632000.0,1802,707285000.0,12275105987.5,680000.0,350500.0,-0.1039,62.29,,2.0,22.0,False,True,manual,True,,,False,True,
271560,오리온,2026-07-28,2025,consumer,15.0,14.2,12.5,38.0,False,False,13.5,1.6,7.8,3.5,18.0,2.2,420000000000.0,400000000000.0,unqualified,True,manual,False,False,False,False,130000.0,5138742440000.0,4013,521690000.0,14555402795.0,146000.0,99300.0,0.1285,31.06,,2.4,32.0,True,True,manual,True,,,False,True,
030190,NICE평가정보,2026-07-28,2025,data_service,16.5,15.8,18.0,25.0,False,False,15.0,2.1,10.0,2.2,20.0,2.5,85000000000.0,78000000000.0,unqualified,True,manual,False,False,False,False,14440.0,851271565150.0,8895,128443800.0,1118603864.1,18200.0,13060.0,-0.1222,37.41,,1.8,20.0,False,True,manual,True,,,False,True,
453340,현대그린푸드,2026-07-28,2025,consumer,8.0,7.5,5.5,62.0,False,False,11.5,0.95,6.0,3.8,18.0,2.2,45000000000.0,42000000000.0,unqualified,True,manual,False,False,False,False,18670.0,603646802330.0,1711,31944370.0,846754042.0,19300.0,14830.0,0.2397,29.02,,2.2,28.0,False,True,manual,True,,,False,False,low_liquidity
