ticker,as_of,close,market_cap,volume,trading_value,avg_trading_value_20d,high_52w,low_52w,return_6m,volatility_1y,beta_kospi200
000080,2026-07-28,15230.0,1068134895530.0,122293,1862522390.0,1731071793.5,21450.0,14260.0,-0.1553,20.99,
000100,2026-07-28,70700.0,5631085390700.0,229612,16233568400.0,19102454427.5,135800.0,66400.0,-0.3417,43.85,
000120,2026-07-28,73100.0,1667582346400.0,39664,2899438400.0,3659890227.5,145700.0,71300.0,-0.2456,43.86,
000150,2026-07-28,1046000.0,16938751410000.0,80750,84464500000.0,106161757425.0,2203000.0,508000.0,0.2191,84.12,
000155,2026-07-28,370000.0,1478690940000.0,10222,3782140000.0,3986599100.0,736000.0,321000.0,-0.2952,74.96,
000210,2026-07-28,44700.0,936728014800.0,40863,1826576100.0,4462662343.75,76800.0,34600.0,0.2065,64.91,
000240,2026-07-28,24950.0,2368634238000.0,84897,2118180150.0,2300276175.0,34650.0,21300.0,-0.0673,51.79,
000250,2026-07-28,139500.0,3272317344000.0,221729,30931195500.0,44603541507.5,1184000.0,139500.0,-0.4927,111.45,
000270,2026-07-28,121800.0,47552303156400.0,1115783,135902369400.0,158849615024.55,206000.0,97800.0,-0.2569,55.13,
000370,2026-07-28,5540.0,646733589100.0,457563,2534899020.0,2076608585.5,9300.0,5100.0,-0.0264,62.33,
000400,2026-07-28,2050.0,636189456000.0,950705,1948945250.0,3589114485.35,2725.0,1591.0,0.2224,70.54,
000500,2026-07-28,151800.0,4520240742600.0,268232,40717617600.0,59115193905.0,313406.0,29840.0,1.9533,119.37,
000660,2026-07-28,1550000.0,1104688665750000.0,7376718,11433912900000.0,12363570611050.85,2919000.0,245000.0,1.0861,82.05,
000670,2026-07-28,33300.0,613075743900.0,19569,651647700.0,1056567728.75,70000.0,33300.0,-0.3764,55.36,
000720,2026-07-28,94300.0,10500848639500.0,331845,31292983500.0,53271180292.5,188700.0,54400.0,-0.1236,80.99,
000810,2026-07-28,609000.0,27190311057000.0,94760,57708840000.0,72402068680.0,730000.0,417500.0,0.2156,59.56,
000815,2026-07-28,383500.0,1153192170000.0,8515,3265502500.0,4871056193.0,452000.0,320500.0,0.0268,31.26,
000880,2026-07-28,86800.0,6120087369200.0,124311,10790194800.0,16403695395.0,150900.0,76600.0,-0.3034,68.12,
00088K,2026-07-28,30500.0,591835450500.0,36124,1101782000.0,1341837922.5,56100.0,29050.0,-0.4078,59.12,
000990,2026-07-28,84800.0,3689189062400.0,496626,42113884800.0,68055152560.0,220500.0,43000.0,0.0012,82.78,
0009K0,2026-07-28,19900.0,1286956103900.0,120189,2391761100.0,3842057760.25,72500.0,19350.0,-0.6427,109.37,
001040,2026-07-28,125400.0,3658795549200.0,74868,9388447200.0,16225784150.0,232000.0,125400.0,-0.3383,56.24,
001120,2026-07-28,36600.0,1418616000000.0,105297,3853870200.0,3691953991.25,56700.0,29150.0,-0.0279,41.81,
001430,2026-07-28,33900.0,1215725834100.0,83915,2844718500.0,4342469980.0,90300.0,23500.0,-0.5394,82.36,
001440,2026-07-28,25150.0,4929213789400.0,1824169,45877850350.0,74029626416.25,72300.0,14840.0,-0.1002,82.21,
001450,2026-07-28,38450.0,3277795212500.0,444986,17109711700.0,16590025146.55,41250.0,25750.0,0.3856,45.4,
001570,2026-07-28,9900.0,633275240400.0,0,0.0,0.0,9900.0,9900.0,0.0,0.0,
