ticker,name,sector,is_held,composite_score,score_sr,market_cap,grade,rank,approved_as_of
036530,SNT홀딩스,holding,True,66.41,72.5,793184053900.0,B,1,2026-07-16
006040,동원산업,consumer,True,67.14,66.25,1326431610950.0,B,2,2026-07-16
005830,DB손해보험,insurance,True,62.52,60.0,9104548511000.0,B,3,2026-07-16
271560,오리온,consumer,True,64.12,48.5,4961784566000.0,B,4,2026-07-16
005440,현대지에프홀딩스,holding,True,61.68,52.5,2070409117280.0,B,5,2026-07-16
021240,코웨이,consumer,True,61.46,30.25,6085998636000.0,B,6,2026-07-16
030190,NICE평가정보,data_service,True,54.65,22.5,811211726790.0,C,7,2026-07-16
002380,KCC,materials,True,40.98,26.0,4111700736000.0,Reject,8,2026-07-16
000660,SK하이닉스,semiconductor,False,67.27,25.0,1820954542575000.0,B,9,2026-07-16
005930,삼성전자,반도체/IT하드웨어,False,53.77,50.0,1812346368480000.0,C,10,2026-07-16
402340,SK스퀘어,기타금융,False,57.86,50.0,241747763152000.0,B,11,2026-07-16
005935,삼성전자우,전기·전자,False,56.78,50.0,162480168607500.0,B,12,2026-07-16
055550,신한지주,은행/금융지주,False,60.05,50.0,46373731069700.0,B,13,2026-07-16
069960,현대백화점,유통,False,62.02,50.0,4131837139200.0,B,14,2026-07-16
024110,기업은행,은행,False,61.33,50.0,16147873847250.0,B,15,2026-07-16
034730,SK,기타금융,False,59.35,50.0,51114405615000.0,B,16,2026-07-16
032830,삼성생명,보험,False,57.2,50.0,85000000000000.0,B,17,2026-07-16
316140,우리금융지주,기타금융,False,59.92,50.0,21618547624000.0,B,18,2026-07-16
138930,BNK금융지주,은행/금융지주,False,60.51,50.0,5188667991760.0,B,19,2026-07-16
029780,삼성카드,기타금융,False,59.78,50.0,5393231376050.0,B,20,2026-07-16
005380,현대차,운송장비·부품,False,54.68,50.0,104631218426000.0,C,21,2026-07-16
086790,하나금융지주,은행/금융지주,False,57.31,50.0,31689474894000.0,B,22,2026-07-16
009150,삼성전기,전기·전자,False,51.38,50.0,148640455040000.0,C,23,2026-07-16
028260,삼성물산,유통,False,54.73,50.0,73786249355000.0,C,24,2026-07-16
105560,KB금융,은행/금융지주,False,55.58,50.0,54515504715800.0,B,25,2026-07-16
175330,JB금융지주,기타금융,False,58.0,50.0,4668688883200.0,B,26,2026-07-16
015760,한국전력,전력/유틸리티,False,57.04,50.0,23271197791250.0,B,27,2026-07-16
032640,LG유플러스,통신,False,57.89,50.0,6026873794400.0,B,28,2026-07-16
000270,기아,자동차,False,55.37,50.0,53642745925200.0,B,29,2026-07-16
088350,한화생명,생명보험,False,57.82,50.0,4173286650000.0,B,30,2026-07-16
