ticker,name,as_of,sector,is_held,rank,execution_continuity,execution_rationale,pension_flow_score,pension_rationale,investment_purpose_flag,investment_purpose_rationale,policy_dependency_flag,policy_dependency_rationale,cecs_computed,scored_by,scored_at,status,notes,execution_sources,pension_sources,investment_purpose_sources,ai_suggested_at,ai_report_name,ai_approved_at
036530,SNT홀딩스,2026-07-16,holding,True,1,0.50,"분기 750원 현금배당(자본준비금 감액 재원, 배당소득 비과세) 집행 확인. 다만 최근 완결 4개 분기 각각의 배당·자사주매입·소각 이벤트 개별 공시 대조는 못함; 검색 키워드: ""SNT홀딩스 분기배당 자사주 소각 공시 KIND 2025 2026""

출처:
https://www.s-econ.kr/news/articleView.html?idxno=4001982
https://kind.krx.co.kr/common/disclsviewer.do?acptNo=20220204000271&docno=&method=searchInitInfo

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"확인 불가; 검색 키워드: ""SNT홀딩스 국민연금 지분율 대량보유 변동""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"확인 불가; 검색 키워드: ""SNT홀딩스 국민연금 대량보유보고서 투자목적 DART""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",,,42.50,operator,2026-07-25,final,,"https://www.s-econ.kr/news/articleView.html?idxno=4001982
https://kind.krx.co.kr/common/disclsviewer.do?acptNo=20220204000271&docno=&method=searchInitInfo",확인 불가,확인 불가,2026-07-25,weekly_qual_report_20260725_filled.md,2026-07-25
006040,동원산업,2026-07-16,consumer,True,2,0.50,"2025.8 발행주식 7%(350만주) 소각, 2026.5 잔여 자사주 1,046만770주 전량 소각, 배당금 2019년 400원→2024년 1,100원 인상 확인. 다만 최근 완결 4개 분기 개별 이벤트 매칭은 못함; 검색 키워드: ""동원산업 분기배당 자사주 소각 공시 2025 2026""

출처:
https://www.hankyung.com/article/202409124934i
https://kind.krx.co.kr/common/disclsviewer.do?method=searchInitInfo&acptNo=20250808000265&docno=

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"최대주주 김남정 동원그룹 회장 외 특수관계인 18인이 87.85% 보유, 외국인 지분 1.37%로 유통물량 자체가 약 10%로 매우 제한적. 국민연금 보유 여부·지분율 미확인; 검색 키워드: ""동원산업 국민연금 대량보유 지분율 2026""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"확인 불가; 검색 키워드: ""동원산업 국민연금 대량보유보고서 투자목적 DART""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",,,42.50,operator,2026-07-25,final,,"https://www.hankyung.com/article/202409124934i
https://kind.krx.co.kr/common/disclsviewer.do?method=searchInitInfo&acptNo=20250808000265&docno=",확인 불가,확인 불가,2026-07-25,weekly_qual_report_20260725_filled.md,2026-07-25
005830,DB손해보험,2026-07-16,insurance,True,3,0.50,"2025.12 자사주 1,416천주(1,750억원) 소각, 2026.2 추가 대규모 소각 결정(발행주식 약 5.6%, 약 7,981억원), DPS 7,600원(2025년 결산) 확인. 다만 최근 완결 4개 분기 개별 매칭은 못함; 검색 키워드: ""DB손해보험 분기 배당 자사주 소각 공시 2025 2026""

출처:
https://www.thebell.co.kr/front/newsview.asp?key=202602271136053760104512
https://m.thebell.co.kr/m/newsview.asp?newskey=202602051448529560104116

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"국민연금 8.69% 보유(단일 시점 기사 기준) 확인되나 2개 분기 이상 추세(순증/보합/감소) 데이터 미확보; 검색 키워드: ""DB손해보험 국민연금 지분율 변동 추이 2026""

출처:
https://www.newstomato.com/ReadNews.aspx?no=1285954

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"확인 불가; 검색 키워드: ""DB손해보험 국민연금 대량보유보고서 투자목적 DART""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",,,42.50,operator,2026-07-25,final,,"https://www.thebell.co.kr/front/newsview.asp?key=202602271136053760104512
https://m.thebell.co.kr/m/newsview.asp?newskey=202602051448529560104116",https://www.newstomato.com/ReadNews.aspx?no=1285954,확인 불가,2026-07-25,weekly_qual_report_20260725_filled.md,2026-07-25
271560,오리온,2026-07-16,consumer,True,4,0.50,"2026.6 오리온·오리온홀딩스 자사주 전량소각(총 675억원), 2026.7 창사 이래 첫 중간배당 실시, 2024~2026 배당성향 오리온 26%→36%·오리온홀딩스 30%→55% 확대 공시 확인. ""창사 이래 첫 중간배당""이라는 표현상 과거 분기 환원 연속성은 낮았을 가능성이 있어 4개 완결분기 매칭은 못함; 검색 키워드: ""오리온 분기별 배당 자사주 소각 이력 2025 2026""

출처:
https://www.newspim.com/news/view/20260616000917
https://www.newspim.com/news/view/20260706000836

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"확인 불가; 검색 키워드: ""오리온 국민연금 지분율 대량보유 2026""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"확인 불가; 검색 키워드: ""오리온 국민연금 대량보유보고서 투자목적 DART""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",,,42.50,operator,2026-07-25,final,,"https://www.newspim.com/news/view/20260616000917
https://www.newspim.com/news/view/20260706000836",확인 불가,확인 불가,2026-07-25,weekly_qual_report_20260725_filled.md,2026-07-25
005440,현대지에프홀딩스,2026-07-16,holding,True,5,0.50,"2026년 상반기 중 그룹 전체 약 3,500억원 자사주 소각 완료 예정, 내년부터 반기배당(100억원+) 신설 및 2027년까지 연간 배당 500억원 단계적 확대 계획 확인. 과거 4개 완결분기 실적 매칭은 못함; 검색 키워드: ""현대지에프홀딩스 분기 배당 자사주 소각 공시 2025 2026""

출처:
https://www.mt.co.kr/living/2026/03/31/2026033113461239359

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"국민연금 관련 수치가 출처 간 상충(13.49% vs 8.03%, 대상 법인·시점 상이 가능성)하여 확인 불가; 검색 키워드: ""현대지에프홀딩스 국민연금 지분율 대량보유 2026""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"확인 불가; 검색 키워드: ""현대지에프홀딩스 국민연금 대량보유보고서 투자목적""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",,,42.50,operator,2026-07-25,final,,https://www.mt.co.kr/living/2026/03/31/2026033113461239359,확인 불가,확인 불가,2026-07-25,weekly_qual_report_20260725_filled.md,2026-07-25
021240,코웨이,2026-07-16,consumer,True,6,0.50,"2025년 현금배당 1,373억원 + 자사주매입 1,100억원(총 2,473억원 환원), 자사주 약 190만주 전량소각, 주주환원율 20%→40% 상향(2027년까지 유지 목표) 확인. 4개 완결분기 매칭은 못함; 검색 키워드: ""코웨이 분기배당 자사주 소각 공시 2025 2026""

출처:
https://company.coway.com/newsroom/press/714
https://www.thepublic.kr/news/articleView.html?idxno=306643

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"국민연금 기금운용본부가 2026.7.10 '주식 대량보유 내역(2026년 2분기)'을 공개한 사실은 확인되나 코웨이 지분 수치 자체는 미확인; 검색 키워드: ""코웨이 국민연금 지분율 대량보유 2026""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"확인 불가; 검색 키워드: ""코웨이 국민연금 대량보유보고서 투자목적""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",,,42.50,operator,2026-07-25,final,,"https://company.coway.com/newsroom/press/714
https://www.thepublic.kr/news/articleView.html?idxno=306643",확인 불가,확인 불가,2026-07-25,weekly_qual_report_20260725_filled.md,2026-07-25
030190,NICE평가정보,2026-07-16,data_service,True,7,0.50,"FY2026~2028 연결배당성향 35% 유지 및 배당금 상향 계획, 자사주 매입·소각 방향성 언급 확인. 구체적 분기별 집행 데이터는 미확인; 검색 키워드: ""NICE평가정보 자사주 소각 배당 분기 공시 2025 2026""

출처:
http://www.niceinfo.co.kr/ir/Shareholder-partcptn_2.nice

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"확인 불가; 검색 키워드: ""NICE평가정보 국민연금 지분율 대량보유""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"확인 불가; 검색 키워드: ""NICE평가정보 국민연금 대량보유보고서 투자목적""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",,,42.50,operator,2026-07-25,final,,http://www.niceinfo.co.kr/ir/Shareholder-partcptn_2.nice,확인 불가,확인 불가,2026-07-25,weekly_qual_report_20260725_filled.md,2026-07-25
002380,KCC,2026-07-16,materials,True,8,0.50,"자사주 보유목적은 ""유사시 재원 확보 및 주주환원 정책 실행 유연성"", 발행주식 대비 자사주 7.7%(작년말 기준) 및 단계적 소각 확정 방침 확인. 구체적 분기별 집행 내역은 미확인; 검색 키워드: ""KCC 자사주 소각 배당 분기 공시 2025 2026""

출처:
https://m.thebell.co.kr/m/newsview.asp?svccode=00&newskey=202507031306347520105859

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.20,"국민연금공단 지분 2026.4.29 10.16%(87만3,433주) → 2026.5.22 9.97%(85만6,429주)로 감소 확인. 채점표상 ""보유+감소"" 구간에 해당하여 보수적 점수 부여

출처:
https://www.datatooza.com/article/20260522145135533352ef3995c6_80

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"확인 불가; 검색 키워드: ""KCC 국민연금 대량보유보고서 투자목적 DART""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",,,33.50,operator,2026-07-25,final,보유·청산판단 재료 (편입 정당화 아님; grade=Reject),https://m.thebell.co.kr/m/newsview.asp?svccode=00&newskey=202507031306347520105859,https://www.datatooza.com/article/20260522145135533352ef3995c6_80,확인 불가,2026-07-25,weekly_qual_report_20260725_filled.md,2026-07-25
000660,SK하이닉스,2026-07-16,semiconductor,False,9,0.50,"실적 호조에 따른 주주환원 확대 기대는 다수 리포트에서 언급되나, 최근 완결 4개 분기별 배당·자사주매입·소각 개별 공시는 확인 못함; 검색 키워드: ""SK하이닉스 분기배당 자사주 매입 소각 공시 2025 2026""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"국민연금 지분율이 출처마다 7.5%~8.1%로 상이하게 제시되어 순증 여부를 확정하지 못함; 검색 키워드: ""SK하이닉스 국민연금 지분율 변동 추이 2026""

출처:
https://newsroom.stockplus.com/breaking-news/25162
https://www.fnnews.com/news/202607141036048666

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"확인 불가; 검색 키워드: ""SK하이닉스 국민연금 대량보유보고서 투자목적""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",,,42.50,operator,2026-07-25,final,,확인 불가,"https://newsroom.stockplus.com/breaking-news/25162
https://www.fnnews.com/news/202607141036048666",확인 불가,2026-07-25,weekly_qual_report_20260725_filled.md,2026-07-25
005930,삼성전자,2026-07-16,반도체/IT하드웨어,False,10,1.00,"2026.3.18 정기주총에서 16조원 규모 자사주 소각 계획 의결(2026년 상반기 중 소각 목적 보유분 전량 처리), 연간 약 11.1조원 배당(정규 9.8조원+추가배당 1.3조원) 결의. 삼성전자는 오랜 기간 분기배당을 지속해온 것으로 널리 알려져 있어 잠정 100 부여하나, 최근 4개 분기 개별 공시 원문 전수 대조는 하지 않음(일반적으로 알려진 사실 기반 판단)

출처:
https://zdnet.co.kr/view/?no=20260318104922
https://www.4th.kr/news/articleView.html?idxno=2109786

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"국민연금 지분 7.57%(단일 시점) 확인되나 추세(순증/감소) 데이터 없음; 검색 키워드: ""삼성전자 국민연금 지분율 변동 추이 2026""

출처:
https://richelab.com/%EA%B5%AD%EB%AF%BC%EC%97%B0%EA%B8%88%EC%9D%B4-%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90%EB%A5%BC-%EB%A7%A4%EB%8F%84%ED%95%9C-%EC%9D%B4%EC%9C%A0/

[AI 제안 기반, 사용자 승인일 2026-07-25]",0.50,"확인 불가; 검색 키워드: ""삼성전자 국민연금 대량보유보고서 투자목적""

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-25]",,,62.50,operator,2026-07-25,final,,"https://zdnet.co.kr/view/?no=20260318104922
https://www.4th.kr/news/articleView.html?idxno=2109786",https://richelab.com/%EA%B5%AD%EB%AF%BC%EC%97%B0%EA%B8%88%EC%9D%B4-%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90%EB%A5%BC-%EB%A7%A4%EB%8F%84%ED%95%9C-%EC%9D%B4%EC%9C%A0/,확인 불가,2026-07-25,weekly_qual_report_20260725_filled.md,2026-07-25
