ticker,period_end,report_date,usable_from_date,roe,roa,operating_margin,gross_profitability,debt_ratio,interest_coverage,per,pbr,pcr,psr,ev_ebitda,dividend_yield,fcf,operating_cash_flow,net_income,earnings_yoy
012510,2026-12-31,2026-06-17,2026-06-17,14.69,,,,,,38.66,5.68,,,,0.53,,,3104.0,
008500,2026-12-31,2026-06-17,2026-06-17,86.07,,,,,,0.28,0.24,,,,12.84,,,2775.0,
222160,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,17.71,,,,,,,,
106520,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.9,,,,,,,,
032980,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,1.09,,,,,,,,
101390,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,1.13,,,,,,,,
203690,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,3.41,,,,,,,,
230360,2026-12-31,2026-06-17,2026-06-17,7.07,,,,,,30.25,2.14,,,,3.88,,,529.0,
227100,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,3.85,,,,,,,,
464440,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,,,,,
057050,2026-12-31,2026-07-16,2026-07-16,4.19,,,,,,9.91,0.42,,,,3.21,,,8806.0,
060240,2026-12-31,2026-07-23,2026-07-23,0.0,,,,,,,8.5,,,,,,,,
095570,2026-12-31,2026-07-27,2026-07-27,6.22,,,,,,6.72,0.42,,,,7.73,,,635.0,
006840,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.21,,,,,,,,
027410,2026-12-31,2026-07-27,2026-07-27,3.31,,,,,,6.54,0.22,,,,3.22,,,618.0,
282330,2026-12-31,2026-07-27,2026-07-27,14.87,,,,,,11.1,1.65,,,,3.27,,,11303.0,
138930,2026-12-31,2026-07-27,2026-07-27,7.22,,,,,,7.21,0.52,,,,4.06,,,2512.0,
001460,2026-12-31,2026-07-27,2026-07-27,3.44,,,,,,13.79,0.47,,,,1.23,,,2367.0,
001465,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,1.73,,,,
001040,2026-12-31,2026-07-27,2026-07-27,2.75,,,,,,31.35,0.86,,,,2.46,,,4271.0,
079160,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,1.45,,,,,,,,
00104K,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,2.54,,,,
000120,2026-12-31,2026-07-27,2026-07-27,5.46,,,,,,6.61,0.36,,,,1.07,,,11347.0,
011150,2026-12-31,2026-07-27,2026-07-27,3.19,,,,,,25.96,0.83,,,,,,,78.0,
011155,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,,,,,
001045,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,4.82,,,,
097950,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.44,,,,3.08,,,,
097955,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,4.84,,,,
000480,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.34,,,,8.75,,,,
000590,2026-12-31,2026-07-27,2026-07-27,5.23,,,,,,3.96,0.21,,,,0.75,,,16782.0,
012030,2026-12-31,2026-07-27,2026-07-27,11.02,,,,,,5.98,0.66,,,,,,,259.0,
005830,2026-12-31,2026-07-27,2026-07-27,16.5,,,,,,5.52,0.91,,,,4.65,,,29597.0,
016610,2026-12-31,2026-07-27,2026-07-27,7.38,,,,,,4.37,0.32,,,,6.2,,,2029.0,
000990,2026-12-31,2026-07-27,2026-07-27,12.49,,,,,,15.7,1.96,,,,0.82,,,6285.0,
000300,2026-12-31,2026-07-27,2026-07-27,11.56,,,,,,41.58,4.81,,,,,,,101.0,
001530,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.97,,,,0.41,,,,
015590,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.7,,,,,,,,
000210,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.27,,,,,,,,
000215,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,,,,,
375500,2026-12-31,2026-07-27,2026-07-27,6.94,,,,,,7.31,0.51,,,,1.39,,,8746.0,
37550L,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,2.09,,,,
37550K,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,4.06,,,,
007340,2026-12-31,2026-07-27,2026-07-27,14.03,,,,,,7.05,0.99,,,,2.61,,,5440.0,
004840,2026-12-31,2026-07-27,2026-07-27,1.11,,,,,,18.97,0.21,,,,1.82,,,232.0,
155660,2026-12-31,2026-07-27,2026-07-27,6.12,,,,,,4.88,0.3,,,,5.48,,,935.0,
069730,2026-12-31,2026-07-27,2026-07-27,13.12,,,,,,3.37,0.44,,,,7.44,,,1713.0,
017860,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.74,,,,0.09,,,,
092780,2026-12-31,2026-07-27,2026-07-27,5.42,,,,,,5.33,0.29,,,,2.43,,,617.0,
017940,2026-12-31,2026-07-27,2026-07-27,5.18,,,,,,4.96,0.26,,,,5.06,,,18124.0,
383220,2026-12-31,2026-07-27,2026-07-27,21.17,,,,,,7.33,1.55,,,,3.47,,,10611.0,
007700,2026-12-31,2026-07-27,2026-07-27,5.44,,,,,,4.36,0.24,,,,3.56,,,3218.0,
114090,2026-12-31,2026-07-27,2026-07-27,10.66,,,,,,12.75,1.36,,,,4.27,,,761.0,
078930,2026-12-31,2026-07-27,2026-07-27,5.43,,,,,,10.86,0.59,,,,3.28,,,8435.0,
006360,2026-12-31,2026-07-27,2026-07-27,1.9,,,,,,27.12,0.52,,,,1.72,,,1073.0,
001250,2026-12-31,2026-07-27,2026-07-27,3.66,,,,,,11.2,0.41,,,,0.93,,,241.0,
007070,2026-12-31,2026-07-27,2026-07-27,1.32,,,,,,49.04,0.65,,,,2.35,,,520.0,
078935,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,5.28,,,,
499790,2026-12-31,2026-07-27,2026-07-27,2.27,,,,,,38.76,0.88,,,,0.92,,,979.0,
012630,2026-12-31,2026-07-27,2026-07-27,10.27,,,,,,3.57,0.37,,,,2.08,,,6057.0,
039570,2026-12-31,2026-07-27,2026-07-27,4.6,,,,,,14.14,0.65,,,,5.96,,,534.0,
089470,2026-12-31,2026-07-27,2026-07-27,9.29,,,,,,2.96,0.27,,,,4.23,,,1279.0,
267270,2026-12-31,2026-07-27,2026-07-27,5.48,,,,,,23.62,1.29,,,,0.41,,,5698.0,
009540,2026-12-31,2026-07-27,2026-07-27,16.32,,,,,,12.34,2.01,,,,3.25,,,30664.0,
267250,2026-12-31,2026-07-27,2026-07-27,9.52,,,,,,15.45,1.47,,,,1.9,,,13623.0,
443060,2026-12-31,2026-07-27,2026-07-27,32.68,,,,,,34.26,11.2,,,,1.92,,,6013.0,
071970,2026-12-31,2026-07-27,2026-07-27,33.77,,,,,,13.48,4.55,,,,,,,4867.0,
322000,2026-12-31,2026-07-27,2026-07-27,9.98,,,,,,36.23,3.61,,,,,,,3721.0,
267260,2026-12-31,2026-07-27,2026-07-27,36.11,,,,,,39.16,14.14,,,,0.89,,,20354.0,
329180,2026-12-31,2026-07-27,2026-07-27,17.64,,,,,,30.98,5.46,,,,1.16,,,15702.0,
097230,2026-12-31,2026-07-27,2026-07-27,7.69,,,,,,28.35,2.18,,,,,,,570.0,
014790,2026-12-31,2026-07-27,2026-07-27,1.92,,,,,,10.66,0.2,,,,,,,234.0,
003580,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.83,,,,,,,,
204320,2026-12-31,2026-07-27,2026-07-27,3.69,,,,,,21.08,0.78,,,,1.67,,,2130.0,
060980,2026-12-31,2026-07-27,2026-07-27,1.91,,,,,,16.9,0.32,,,,5.26,,,2251.0,
011200,2026-12-31,2026-07-27,2026-07-27,6.93,,,,,,10.58,0.73,,,,3.39,,,1951.0,
035000,2026-12-31,2026-07-27,2026-07-27,8.2,,,,,,5.81,0.48,,,,8.83,,,1072.0,
002460,2026-12-31,2026-07-27,2026-07-27,6.38,,,,,,3.78,0.24,,,,6.8,,,2916.0,
487570,2026-12-31,2026-07-27,2026-07-27,3.79,,,,,,8.3,0.31,,,,2.28,,,5292.0,
298050,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.89,,,,1.55,,,,
015360,2026-12-31,2026-07-27,2026-07-27,13.77,,,,,,3.59,0.49,,,,7.52,,,4003.0,
294870,2026-12-31,2026-07-27,2026-07-27,4.89,,,,,,8.46,0.41,,,,3.34,,,2476.0,
175330,2026-12-31,2026-07-27,2026-07-27,11.4,,,,,,7.94,0.91,,,,3.97,,,3619.0,
234080,2026-12-31,2026-07-27,2026-07-27,12.97,,,,,,6.06,0.79,,,,4.91,,,1847.0,
001060,2026-12-31,2026-07-27,2026-07-27,16.57,,,,,,9.47,1.57,,,,2.71,,,2534.0,
001067,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,1.49,,,,
001065,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,3.18,,,,
096760,2026-12-31,2026-07-27,2026-07-27,21.8,,,,,,4.58,1.0,,,,5.58,,,841.0,
008970,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.81,,,,,,,,
105560,2026-12-31,2026-07-27,2026-07-27,9.36,,,,,,11.2,1.05,,,,2.53,,,15410.0,
002380,2026-12-31,2026-07-27,2026-07-27,19.66,,,,,,1.99,0.39,,,,3.6,,,209201.0,
344820,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.26,,,,7.03,,,,
009070,2026-12-31,2026-07-27,2026-07-27,6.7,,,,,,5.54,0.37,,,,1.92,,,707.0,
009440,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.17,,,,,,,,
119650,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,1.97,,,,,,,,
092220,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.31,,,,,,,,
003620,2026-12-31,2026-07-27,2026-07-27,3.16,,,,,,12.2,0.39,,,,,,,232.0,
016380,2026-12-31,2026-07-27,2026-07-27,6.56,,,,,,3.72,0.24,,,,5.78,,,1394.0,
001390,2026-12-31,2026-07-27,2026-07-27,6.89,,,,,,4.04,0.28,,,,3.63,,,1023.0,
001940,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.28,,,,7.12,,,,
025000,2026-12-31,2026-07-27,2026-07-27,6.73,,,,,,4.69,0.32,,,,7.52,,,10650.0,
092230,2026-12-31,2026-07-27,2026-07-27,7.18,,,,,,4.24,0.3,,,,6.15,,,20111.0,
000040,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.53,,,,,,,,
044450,2026-12-31,2026-07-27,2026-07-27,6.72,,,,,,6.05,0.41,,,,4.6,,,1619.0,
030200,2026-12-31,2026-07-27,2026-07-27,9.72,,,,,,7.64,0.74,,,,4.41,,,7119.0,
033780,2026-12-31,2026-07-27,2026-07-27,11.43,,,,,,17.87,2.04,,,,3.29,,,10220.0,
058850,2026-12-31,2026-07-27,2026-07-27,10.99,,,,,,3.64,0.4,,,,4.45,,,616.0,
058860,2026-12-31,2026-07-27,2026-07-27,15.23,,,,,,2.16,0.33,,,,5.46,,,1188.0,
093050,2026-12-31,2026-07-27,2026-07-27,5.96,,,,,,6.2,0.37,,,,3.1,,,3646.0,
003550,2026-12-31,2026-07-27,2026-07-27,2.57,,,,,,20.44,0.52,,,,3.17,,,4780.0,
034220,2026-12-31,2026-07-27,2026-07-27,3.43,,,,,,21.32,0.73,,,,,,,453.0,
051900,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.79,,,,0.78,,,,
051905,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,2.01,,,,
064400,2026-12-31,2026-07-27,2026-07-27,15.03,,,,,,14.73,2.21,,,,2.76,,,4549.0,
373220,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,3.85,,,,,,,,
003555,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,4.85,,,,
032640,2026-12-31,2026-07-27,2026-07-27,5.86,,,,,,12.05,0.71,,,,4.49,,,1221.0,
011070,2026-12-31,2026-07-27,2026-07-27,5.92,,,,,,42.58,2.52,,,,0.31,,,14421.0,
066570,2026-12-31,2026-07-27,2026-07-27,4.02,,,,,,32.33,1.3,,,,0.78,,,5330.0,
066575,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,2.25,,,,
037560,2026-12-31,2026-07-27,2026-07-27,0.39,,,,,,69.7,0.27,,,,,,,23.0,
051910,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.62,,,,0.77,,,,
051915,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,1.7,,,,
079550,2026-12-31,2026-07-27,2026-07-27,17.73,,,,,,59.98,10.63,,,,0.42,,,11604.0,
006260,2026-12-31,2026-07-27,2026-07-27,5.49,,,,,,30.8,1.69,,,,0.82,,,9903.0,
010120,2026-12-31,2026-07-27,2026-07-27,13.86,,,,,,103.68,14.37,,,,0.3,,,1929.0,
000680,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.26,,,,,,,,
229640,2026-12-31,2026-07-27,2026-07-27,20.11,,,,,,32.26,6.49,,,,0.56,,,1387.0,
108320,2026-12-31,2026-07-27,2026-07-27,7.34,,,,,,7.48,0.55,,,,3.95,,,5081.0,
001120,2026-12-31,2026-07-27,2026-07-27,5.12,,,,,,9.56,0.49,,,,5.31,,,3943.0,
108670,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.4,,,,,,,,
108675,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,,,,,
383800,2026-12-31,2026-07-27,2026-07-27,6.78,,,,,,4.51,0.31,,,,3.68,,,1745.0,
38380K,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,4.23,,,,
023150,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.43,,,,6.25,,,,
035420,2026-12-31,2026-07-27,2026-07-27,7.05,,,,,,17.3,1.22,,,,1.17,,,13009.0,
036570,2026-12-31,2026-07-27,2026-07-27,10.3,,,,,,13.01,1.34,,,,0.49,,,17876.0,
181710,2026-12-31,2026-07-27,2026-07-27,2.16,,,,,,39.2,0.84,,,,1.25,,,1023.0,
005940,2026-12-31,2026-07-27,2026-07-27,11.44,,,,,,10.15,1.16,,,,4.44,,,2882.0,
005945,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,5.36,,,,
034310,2026-12-31,2026-07-27,2026-07-27,4.96,,,,,,11.9,0.59,,,,4.36,,,1079.0,
030190,2026-12-31,2026-07-27,2026-07-27,16.61,,,,,,10.97,1.82,,,,3.53,,,1317.0,
008260,2026-12-31,2026-07-27,2026-07-27,7.02,,,,,,4.71,0.33,,,,3.15,,,673.0,
004250,2026-12-31,2026-07-27,2026-07-27,2.88,,,,,,8.76,0.25,,,,3.54,,,339.0,
004255,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,5.62,,,,
456040,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.57,,,,,,,,
010060,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.98,,,,0.49,,,,
178920,2026-12-31,2026-07-27,2026-07-27,8.56,,,,,,18.43,1.58,,,,1.83,,,1035.0,
001340,2026-12-31,2026-07-27,2026-07-27,4.53,,,,,,20.79,0.94,,,,0.63,,,229.0,
005490,2026-12-31,2026-07-27,2026-07-27,1.18,,,,,,36.33,0.43,,,,3.16,,,8697.0,
010950,2026-12-31,2026-07-27,2026-07-27,1.99,,,,,,89.8,1.79,,,,0.24,,,1519.0,
010955,2026-12-31,2026-07-27,2026-07-27,,,,,,,,,,,,0.55,,,,
034120,2026-12-31,2026-07-27,2026-07-27,0.62,,,,,,26.77,0.17,,,,2.85,,,433.0,
003080,2026-12-31,2026-07-27,2026-07-27,22.43,,,,,,1.26,0.28,,,,9.28,,,1759.0,
005090,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.89,,,,2.99,,,,
001380,2026-12-31,2026-07-27,2026-07-27,1.83,,,,,,10.88,0.2,,,,,,,124.0,
004060,2026-12-31,2026-07-27,2026-07-27,0.3,,,,,,58.5,0.18,,,,,,,40.0,
001770,2026-12-31,2026-07-27,2026-07-27,3.55,,,,,,4.04,0.14,,,,3.05,,,1620.0,
002360,2026-12-31,2026-07-27,2026-07-27,0.0,,,,,,,0.31,,,,,,,,
009160,2026-12-31,2026-07-27,2026-07-27,3.13,,,,,,12.68,0.4,,,,6.21,,,381.0,
033530,2026-12-31,2026-07-27,2026-07-27,13.16,,,,,,2.43,0.32,,,,3.24,,,2541.0,
