date,ticker,name,foreign_net_value,institution_net_value,retail_net_value,program_net_value,foreign_5d_sum,institution_5d_sum,foreign_20d_sum,institution_20d_sum,foreign_5d_mcap_pct,institution_5d_mcap_pct,foreign_20d_mcap_pct,institution_20d_mcap_pct,flow_score,flow_signal,source,staleness_days
2026-07-02,000080,하이트진로,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,000100,유한양행,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-13,000120,CJ대한통운,0.0,0.0,0.0,0.0,-1945275400.0,1755962900.0,-8662774950.0,-4769064100.0,-0.11430687590889071,0.10318263075290823,-0.5090357597882011,-0.28023631938194743,20.0,DISTRIBUTION,cache_stale,2.0
2026-07-02,000150,두산,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-13,000210,DL,0.0,0.0,0.0,0.0,4673886800.0,-745738850.0,16103330175.0,-11888614725.0,0.4972900348845109,-0.07934477547278959,1.7133546376182127,-1.264919302565,80.0,ACCUMULATION,cache_stale,2.0
2026-07-14,000270,기아,0.0,0.0,0.0,0.0,21224242750.0,182218350600.0,222151391400.0,78206992150.0,0.03828420134706596,0.3286847076558554,0.40071576159712263,0.14106944919007805,80.0,ACCUMULATION,cache_stale,2.0
2026-07-03,000370,한화손해보험,-90692235.0,-11339400.0,101388735.0,0.0,-3381218985.0,953124005.0,5964307965.0,4327987900.0,-0.4985187689069128,0.14052630358936255,0.8793631756132751,0.6381080933603048,20.0,DISTRIBUTION,cache_stale,1.0
2026-07-02,000400,롯데손해보험,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-03,000430,대원강업,-32830751.0,-5319896.0,-117808738.0,-6988525.0,-783428274.0,-202465147.0,-2854886555.0,2367116.0,-0.3207091345996398,-0.08288240830194858,-1.168694348698215,0.0009690175208776813,20.0,DISTRIBUTION,cache_stale,2.0
2026-07-02,000500,가온전선,,,,,,,,,,,,,0.0,STALE,template,999.0
