month_end,market_pbr
2016-07-31,1.07
2016-08-31,1.08
2016-09-30,1.08
2016-10-31,0.99
2016-11-30,0.98
2016-12-31,1.0
2017-01-31,1.02
2017-02-28,1.03
2017-03-31,1.06
2017-04-30,1.08
2017-05-31,1.12
2017-06-30,1.14
2017-07-31,1.15
2017-08-31,1.13
2017-09-30,1.1
2017-10-31,1.16
2017-11-30,1.14
2017-12-31,1.11
2018-01-31,1.15
2018-02-28,1.11
2018-03-31,1.12
2018-04-30,1.16
2018-05-31,1.11
2018-06-30,1.05
2018-07-31,1.03
2018-08-31,1.04
2018-09-30,1.03
2018-10-31,0.89
2018-11-30,0.92
2018-12-31,0.87
2019-01-31,0.94
2019-02-28,0.94
2019-03-31,0.92
2019-04-30,0.95
2019-05-31,0.87
2019-06-30,0.9
2019-07-31,0.85
2019-08-31,0.83
2019-09-30,0.85
2019-10-31,0.86
2019-11-30,0.86
2019-12-31,0.89
2020-01-31,0.86
2020-02-29,0.81
2020-03-31,0.71
2020-04-30,0.79
2020-05-31,0.83
2020-06-30,0.87
2020-07-31,0.93
2020-08-31,0.97
2020-09-30,0.95
2020-10-31,0.93
2020-11-30,1.06
2020-12-31,1.16
2021-01-31,1.2
2021-02-28,1.22
2021-03-31,1.24
2021-04-30,1.28
2021-05-31,1.29
2021-06-30,1.3
2021-07-31,1.27
2021-08-31,1.3
2021-09-30,1.21
2021-10-31,1.17
2021-11-30,1.13
2021-12-31,1.14
2022-01-31,1.08
2022-02-28,1.1
2022-03-31,1.12
2022-04-30,1.1
2022-05-31,1.08
2022-06-30,0.92
2022-07-31,0.97
2022-08-31,0.98
2022-09-30,0.83
2022-10-31,0.89
2022-11-30,0.96
2022-12-31,0.84
2023-01-31,0.91
2023-02-28,0.91
2023-03-31,0.93
2023-04-30,0.94
2023-05-31,0.98
2023-06-30,0.94
2023-07-31,0.96
2023-08-31,0.94
2023-09-30,0.89
2023-10-31,0.83
2023-11-30,0.92
2023-12-31,0.96
2024-01-31,0.91
2024-02-29,0.96
2024-03-31,1.0
2024-04-30,0.98
2024-05-31,0.96
2024-06-30,1.0
2024-07-31,0.99
2024-08-31,0.96
2024-09-30,0.91
2024-10-31,0.9
2024-11-30,0.86
2024-12-31,0.84
2025-01-31,0.88
2025-02-28,0.89
2025-03-31,0.87
2025-04-30,0.89
2025-05-31,0.92
2025-06-30,1.03
2025-07-31,1.09
2025-08-31,1.07
2025-09-30,1.15
2025-10-31,1.38
2025-11-30,1.32
2025-12-31,1.35
2026-01-31,1.68
2026-02-28,2.0
2026-03-31,1.62
2026-04-30,2.11
2026-05-31,2.59
2026-06-30,2.41
