date,pmi_kr,pmi_us,cpi_kr_yoy,cpi_us_yoy,yield_spread_2y10y,hy_oas_bp,real_rate_kr
2026-06-25,51.2,49.8,2.4,4.27,0.3,271.0,-0.2
2026-06-26,51.2,49.8,2.4,4.27,0.31,276.0,-2.3
2026-06-29,51.2,44.8,2.4,4.27,0.31,278.0,-0.2
2026-06-30,51.2,44.8,2.4,4.27,0.28,283.0,-0.2
2026-07-01,51.2,44.8,2.4,4.27,0.3,280.0,-0.2
2026-07-02,51.2,44.8,2.4,4.27,0.31,275.0,-0.2
2026-07-03,51.2,44.8,2.4,4.27,0.35,274.0,-0.2
2026-07-06,51.2,44.8,2.4,4.27,0.35,275.0,-0.2
2026-07-07,51.2,44.8,3.2,4.27,0.35,275.0,-1.0
2026-07-08,51.2,44.8,3.2,4.27,0.35,275.0,-1.0
2026-07-09,51.2,44.8,3.2,4.27,0.35,275.0,-1.0
2026-07-10,51.2,44.8,3.2,4.27,0.35,275.0,-1.0
2026-07-11,52.1,44.8,3.2,4.27,0.35,275.0,-1.0
2026-07-12,52.1,44.8,3.2,4.27,0.35,275.0,-1.0
2026-07-13,52.1,44.8,3.2,4.27,0.35,275.0,-1.0
2026-07-14,52.1,44.8,3.2,4.27,0.35,275.0,-1.0
2026-07-15,52.1,44.8,3.2,4.27,0.35,275.0,-1.0
2026-07-16,52.1,44.8,3.2,4.27,0.35,275.0,-1.0
2026-07-17,52.1,44.8,3.2,4.27,0.35,275.0,-1.0
2026-07-18,52.1,44.8,3.2,4.27,0.35,275.0,-1.0
2026-07-23,52.1,44.8,3.2,4.27,0.35,275.0,-1.0
2026-07-25,52.1,44.8,3.2,4.27,0.35,275.0,-1.0
