date,ticker,close,market_cap,trading_value_20d,trading_value_60d,return_1m,return_3m,return_6m,return_12m,return_12m_ex_1m,high_52w,distance_from_52w_high,volatility_60d
2026-06-24,000020,4970,138819405900,516415206,550973733,-0.2048,-0.1519,-0.2136,-0.2582,-0.0534,7060,0.704,0.0177
2026-06-24,000040,285,24616927440,71782269,147218687,-0.2597,-0.2928,-0.4254,-0.3523,-0.0926,653,0.4364,0.0326
2026-06-24,000050,7720,211645884400,543893949,760450199,-0.2303,-0.1636,-0.3561,-0.1157,0.1146,12060,0.6401,0.0313
2026-07-06,000070,57500,0,642099872,754917595,0.0379,-0.1519,-0.0726,0.0126,-0.0253,74500,0.7718,0.0195
2026-06-24,000080,14690,1030262745590,2717186672,2584523656,-0.1323,-0.0982,-0.2256,-0.2852,-0.1529,22000,0.6677,0.0175
2026-06-24,000087,12440,14058916720,45192168,31587086,-0.0926,-0.1057,-0.1933,-0.2176,-0.125,16280,0.7641,0.006
2026-07-15,000100,69600,5567367309900,21952113652,24048517171,-0.1111,-0.2443,-0.3857,-0.3673,-0.2562,135800,0.5125,0.0297
2026-06-24,000105,60600,71564964000,202201097,273558747,-0.1898,-0.2725,-0.419,-0.3841,-0.1943,113300,0.5349,0.0225
2026-06-24,000120,74600,1701800862400,5526186675,6813832561,-0.1674,-0.3015,-0.2197,-0.1315,0.0359,145700,0.512,0.0237
2026-06-24,000140,7830,181708969950,236923527,201661440,-0.1031,-0.129,-0.2278,-0.3021,-0.199,11790,0.6641,0.0165
2026-06-24,000145,9550,4496235500,3391493,3164228,-0.0922,-0.1541,-0.2305,-0.2968,-0.2046,13680,0.6981,0.0164
2026-07-15,000150,1293000,21068179335000,131323296425,160193093266,-0.239,-0.0008,0.7036,1.2448,1.4838,2203000,0.5869,0.0632
2026-06-24,000155,510000,2038195620000,13720204750,13705363537,-0.1748,0.0794,-0.0078,0.1111,0.2859,736000,0.6929,0.0582
2026-06-24,000157,460000,410797480000,937878375,940458895,-0.0909,0.0965,0.0088,-0.1944,-0.1035,630000,0.7302,0.0542
2026-06-24,000180,4660,65008491200,91627598,124761654,-0.2361,-0.3656,-0.4052,-0.4699,-0.2338,9035,0.5158,0.0212
2026-07-03,0001A0,8780,0,1130907221,7109446110,-0.2018,-0.485,0.0,0.0,0.0,38500,0.2281,0.0453
2026-07-15,000210,47150,988069930600,4590285481,7097592791,-0.1396,-0.261,0.3627,-0.0827,0.0569,76800,0.6139,0.0459
2026-06-24,000215,21150,35661332250,97131837,195390146,-0.2019,-0.2433,-0.1881,-0.1278,0.0741,32000,0.6609,0.0343
2026-06-24,000220,3765,64126801515,3525194834,1328332911,-0.0516,-0.0928,-0.1183,-0.1998,-0.1482,4770,0.7893,0.0231
2026-06-24,000225,3545,8036266850,407985304,168874047,-0.1698,-0.1775,-0.2751,-0.3049,-0.1351,5250,0.6752,0.0205
2026-06-24,000227,10310,3356523600,9950340,8245961,-0.0246,-0.0409,-0.0932,-0.0584,-0.0338,11670,0.8835,0.0081
2026-06-24,000230,6240,72012096000,175548768,271143887,-0.2624,-0.3906,-0.5784,-0.1149,0.1475,15810,0.3947,0.0269
2026-07-06,000240,25550,0,5537954631,4142647154,-0.0058,0.0302,-0.0211,0.3497,0.3555,34650,0.7374,0.0367
2026-07-15,000250,188000,4402967494400,28122412390,71324908238,-0.2906,-0.6426,-0.2327,0.2145,0.5051,1184000,0.1588,0.0536
2026-07-16,000270,149700,58444825800600,168434452432,229002798670,-0.0998,0.0034,0.1239,0.5106,0.6104,206000,0.7267,0.0397
2026-06-24,000300,4200,174035631000,0,0,0.0,0.0,0.0,0.0,0.0,4200,1.0,0.0
2026-06-24,000320,16040,213190062040,163400838,312087278,-0.18,-0.2871,-0.2934,-0.2871,-0.1071,36250,0.4425,0.0282
